,addr,scp,car_sum
804,[24 48],12.911511950259111,7.0
805,[63 27],5.932625795267483,4.0
806,[57 95],12.993022519032948,9.0
807,[66 29],8.013609479259749,6.0
808,[76 19],7.7950762426194675,5.0
809,[63 57],4.40427524622374,3.0
810,[84 40],9.461337254507844,7.0
812,[58 49],6.601886789395396,4.0
814,[32 49],3.172420061655239,2.0
817,[39 65],19.650813077922635,12.0
818,[77 97],6.146539489136615,4.0
821,[81 30],9.079564315076285,6.0
822,[80 23],4.4696563911620135,3.0
823,[60 53],9.423762326896576,6.0
824,[ 0 74],3.7366096671016376,2.0
827,[ 4 47],13.991049656112125,10.0
828,[57 49],14.52542552973225,8.0
829,[99 44],5.251990868397621,4.0
830,[89 76],4.6353817740643555,3.0
831,[ 9 32],3.898798295983071,2.0
833,[68 35],5.191611746727455,3.0
835,[73 18],9.97927708865506,7.0
836,[37 30],10.950554052491118,8.0
837,[91 75],9.976391102007602,5.0
838,[32 32],3.793171235391644,3.0
841,[ 0 64],3.873058625337212,2.0
843,[88 82],11.560454798090108,8.0
845,[23 44],4.25785646595891,3.0
846,[63  3],3.7476465961288437,2.0
847,[87 59],3.2238472676972765,2.0
848,[43 77],10.165252142675746,6.0
849,[43 79],4.537750667829992,3.0
850,[49 90],8.816027076018385,6.0
851,[33 86],4.114408139853629,4.0
853,[50 60],5.338411535195533,4.0
855,[ 4 60],6.37953816159034,3.0
856,[81 14],5.795177958488117,4.0
857,[97 28],7.443779895974313,4.0
858,[36 82],3.639407359708429,2.0
860,[77 26],9.342127314155505,7.0
861,[53 73],5.734629464426224,4.0
862,[94 43],6.214415719232952,4.0
863,[1 1],5.3693412101855795,3.0
864,[38 77],7.069342658180041,5.0
866,[45 76],7.075704436557389,4.0
867,[27 33],5.320120151344366,3.0
868,[46 82],4.3839762122117865,3.0
869,[ 2 51],3.4329108282961496,3.0
870,[65 36],6.583891099385612,4.0
872,[ 9 56],8.285435416061151,6.0
873,[38 72],3.6907464012963347,3.0
874,[51 83],4.554204483693347,3.0
876,[57 97],4.862586440897015,3.0
877,[43 41],5.209695551656056,4.0
879,[ 7 50],5.229962755600429,4.0
881,[73  5],9.252458427158663,6.0
883,[46 37],10.29034361446114,6.0
884,[52 91],5.435710915079305,3.0
887,[22 99],8.251609479109426,4.0
889,[54 91],5.243634027241371,3.0
890,[44 39],5.990918690289651,4.0
891,[ 9 41],7.375763856280363,4.0
